director,genre,id,popularity,budget,revenue,original_title,release_date,budget_adj,revenue_adj,release_year,release_month,release_day_of_week,leading_actor,profit_adj,ROI_adj
Colin Trevorrow,Action,135397,32.985763,150000000,1513528810,Jurassic World,2015-06-09,137999939.280026,1392445892.5238,2015,6,1,Chris Pratt,1254445953.243774,9.090192066666667
Colin Trevorrow,Adventure,135397,32.985763,150000000,1513528810,Jurassic World,2015-06-09,137999939.280026,1392445892.5238,2015,6,1,Chris Pratt,1254445953.243774,9.090192066666667
Colin Trevorrow,Science Fiction,135397,32.985763,150000000,1513528810,Jurassic World,2015-06-09,137999939.280026,1392445892.5238,2015,6,1,Chris Pratt,1254445953.243774,9.090192066666667
Colin Trevorrow,Thriller,135397,32.985763,150000000,1513528810,Jurassic World,2015-06-09,137999939.280026,1392445892.5238,2015,6,1,Chris Pratt,1254445953.243774,9.090192066666667
George Miller,Action,76341,28.419936,150000000,378436354,Mad Max: Fury Road,2015-05-13,137999939.280026,348161292.489031,2015,5,2,Tom Hardy,210161353.20900503,1.5229090266666778
George Miller,Adventure,76341,28.419936,150000000,378436354,Mad Max: Fury Road,2015-05-13,137999939.280026,348161292.489031,2015,5,2,Tom Hardy,210161353.20900503,1.5229090266666778
George Miller,Science Fiction,76341,28.419936,150000000,378436354,Mad Max: Fury Road,2015-05-13,137999939.280026,348161292.489031,2015,5,2,Tom Hardy,210161353.20900503,1.5229090266666778
George Miller,Thriller,76341,28.419936,150000000,378436354,Mad Max: Fury Road,2015-05-13,137999939.280026,348161292.489031,2015,5,2,Tom Hardy,210161353.20900503,1.5229090266666778
Robert Schwentke,Adventure,262500,13.112507,110000000,295238201,Insurgent,2015-03-18,101199955.47201899,271619025.407628,2015,3,2,Shailene Woodley,170419069.935609,1.6839836454545534
Robert Schwentke,Science Fiction,262500,13.112507,110000000,295238201,Insurgent,2015-03-18,101199955.47201899,271619025.407628,2015,3,2,Shailene Woodley,170419069.935609,1.6839836454545534
Robert Schwentke,Thriller,262500,13.112507,110000000,295238201,Insurgent,2015-03-18,101199955.47201899,271619025.407628,2015,3,2,Shailene Woodley,170419069.935609,1.6839836454545534
J.J. Abrams,Action,140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,2015-12-15,183999919.040035,1902723129.80182,2015,12,1,Harrison Ford,1718723210.761785,9.340891125000018
J.J. Abrams,Adventure,140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,2015-12-15,183999919.040035,1902723129.80182,2015,12,1,Harrison Ford,1718723210.761785,9.340891125000018
J.J. Abrams,Science Fiction,140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,2015-12-15,183999919.040035,1902723129.80182,2015,12,1,Harrison Ford,1718723210.761785,9.340891125000018
J.J. Abrams,Fantasy,140607,11.173103999999999,200000000,2068178225,Star Wars: The Force Awakens,2015-12-15,183999919.040035,1902723129.80182,2015,12,1,Harrison Ford,1718723210.761785,9.340891125000018
James Wan,Action,168259,9.335014,190000000,1506249360,Furious 7,2015-04-01,174799923.08803302,1385748801.47052,2015,4,2,Vin Diesel,1210948878.382487,6.927628210526311
James Wan,Crime,168259,9.335014,190000000,1506249360,Furious 7,2015-04-01,174799923.08803302,1385748801.47052,2015,4,2,Vin Diesel,1210948878.382487,6.927628210526311
